iter	Passed	Remaining
690	18903	35809
691	18927	35776
692	18953	35746
693	18981	35719
694	19001	35679
695	19025	35645
696	19056	35624
697	19083	35597
698	19110	35569
699	19128	35524
700	19152	35490
701	19178	35460
702	19202	35427
703	19228	35398
704	19253	35366
705	19281	35340
706	19300	35297
707	19322	35261
708	19349	35233
709	19373	35199
710	19398	35168
711	19424	35139
712	19445	35099
713	19468	35065
714	19494	35036
715	19520	35005
716	19544	34972
717	19570	34943
718	19594	34909
719	19622	34883
720	19643	34845
721	19664	34807
722	19692	34781
723	19717	34750
724	19736	34708
725	19759	34673
726	19785	34645
727	19810	34613
728	19836	34585
729	19857	34547
730	19875	34504
731	19897	34466
732	19918	34428
733	19937	34388
734	19964	34360
735	19984	34321
736	20010	34291
737	20037	34265
738	20061	34232
739	20087	34203
740	20113	34174
741	20139	34145
742	20167	34119
743	20197	34097
744	20231	34081
745	20256	34051
746	20281	34020
747	20302	33982
748	20330	33956
749	20350	33916
750	20370	33879
751	20392	33842
752	20422	33820
753	20451	33795
754	20475	33764
755	20500	33733
756	20526	33704
757	20551	33673
758	20578	33646
759	20602	33613
760	20621	33574
761	20645	33541
762	20671	33512
763	20698	33485
764	20722	33454
765	20751	33429
766	20775	33398
767	20803	33372
768	20829	33343
769	20854	33312
770	20878	33281
771	20908	33257
772	20932	33226
773	20959	33198
774	20977	33157
775	21002	33126
776	21028	33098
777	21051	33066
778	21073	33030
779	21105	33010
780	21137	32991
781	21163	32962
782	21188	32932
783	21214	32904
784	21238	32873
785	21263	32842
786	21288	32811
787	21309	32775
788	21335	32747
789	21359	32715
790	21386	32688
791	21412	32660
792	21434	32625
793	21460	32596
794	21487	32569
795	21514	32541
796	21538	32510
797	21564	32481
798	21584	32444
799	21609	32414
800	21636	32387
801	21654	32346
802	21673	32308
803	21697	32277
804	21728	32255
805	21760	32236
806	21774	32188
807	21799	32160
808	21832	32141
809	21862	32119
810	21887	32089
811	21914	32061
812	21942	32037
813	21970	32010
814	21998	31985
815	22026	31959
816	22049	31927
817	22074	31897
818	22104	31875
819	22128	31842
820	22145	31801
821	22171	31773
822	22197	31745
823	22225	31719
824	22256	31698
825	22283	31671
826	22315	31651
827	22337	31617
828	22362	31588
829	22394	31567
830	22424	31545
831	22443	31507
832	22470	31480
833	22497	31453
834	22532	31437
835	22563	31415
836	22586	31383
837	22615	31359
838	22646	31338
839	22673	31310
840	22698	31281
841	22723	31252
842	22750	31224
843	22776	31196
844	22805	31171
845	22820	31128
846	22844	31098
847	22877	31078
848	22910	31060
849	22941	31039
850	22974	31019
851	22995	30984
852	23017	30950
853	23044	30923
854	23072	30897
855	23106	30879
856	23138	30860
857	23167	30835
858	23196	30811
859	23226	30789
